feature,gain,splits,gain_pct,base
P_2_last,277751.8557815552,245,10.997541858113129,P_2
P_2_mean,224457.53621435165,196,8.887361500935114,P_2
D_44_last,160076.52406692505,171,6.338205262296465,D_44
P_2_max,97774.5918841362,167,3.8713698739474736,P_2
B_9_last,78438.01288127899,121,3.1057410129692005,B_9
D_48_last,69817.53234386444,153,2.76441441667878,D_48
B_18_last,61908.33928203583,75,2.4512511381955315,B_18
B_2_last,59953.55369567871,143,2.3738517046288083,B_2
B_3_last,47903.95813989639,250,1.8967498284769153,B_3
B_11_last,42757.58669757843,166,1.6929800455711181,B_11
D_48_mean,32291.10704612732,137,1.2785613992940954,D_48
B_1_last,31562.37316417694,171,1.2497072937198106,B_1
R_1_last,28086.38230895996,137,1.1120759723336735,R_1
R_1_mean,25829.028638362885,115,1.0226964021734612,R_1
R_1_max,25165.771035194397,110,0.99643481975115,R_1
D_42_mean,23879.77994441986,218,0.9455162010072434,D_42
B_37_last,22765.353835105896,130,0.9013906712228683,B_37
R_2_last,20899.700493335724,111,0.8275204151228238,R_2
D_44_max,19708.556467056274,137,0.7803572512577651,D_44
S_3_mean,18750.70626449585,279,0.7424313203334902,S_3
B_3_diff,15894.438594818115,165,0.6293378428232597,B_3
D_42_last,15288.418695926666,154,0.6053425784670429,D_42
B_7_last,14693.06672668457,123,0.5817697091386759,B_7
B_4_diff,14635.179230213165,212,0.5794776626509421,B_4
D_39_diff,14401.067842006683,210,0.5702080583704701,D_39
P_2_diff,13298.353009223938,179,0.5265462347726895,P_2
S_3_last,12729.843630313873,234,0.5040361936653115,S_3
D_41_diff,12219.879610061646,164,0.4838442469973967,D_41
R_2_mean,11509.609749794006,64,0.45572122151168093,R_2
D_39_last,11158.149493217468,216,0.44180520690113034,D_39
D_42_max,10946.240027427673,156,0.43341468431183566,D_42
D_41_last,10209.473217487335,133,0.40424251619368684,D_41
D_45_max,9885.814534187317,83,0.39142730058579134,D_45
D_44_diff,9459.238515377045,184,0.374537088963865,D_44
B_23_last,9202.31053352356,98,0.364364065179727,B_23
R_3_mean,8924.82806444168,150,0.3533771896464072,R_3
D_39_max,8902.498852729797,216,0.3524930679552339,D_39
B_33_last,8786.46910905838,82,0.3478988881639884,B_33
D_43_last,8611.673241615295,278,0.34097787277267316,D_43
P_3_last,8473.430027008057,177,0.33550415402841777,P_3
B_9_max,8470.715267658234,81,0.33539666355099007,B_9
D_62_mean,8028.10923910141,85,0.3178717461674133,D_62
R_10_max,7627.29326581955,54,0.3020014995720696,R_10
B_1_mean,7474.077596664429,61,0.2959349488010193,B_1
R_3_last,7246.080852031708,206,0.2869074528890428,R_3
D_43_mean,6924.810130119324,207,0.274186788243704,D_43
B_4_last,6921.197732448578,203,0.27404375591551167,B_4
B_4_max,6800.5173506736755,274,0.26926543482639403,B_4
D_48_diff,6651.892394542694,225,0.2633806526289487,D_48
S_3_max,6611.980450630188,153,0.26180034537022184,S_3
S_23_last,6609.438067436218,136,0.2616996801000786,S_23
B_5_last,6467.670808792114,223,0.2560864273761268,B_5
B_22_last,6231.9834089279175,111,0.2467544211573281,B_22
D_44_mean,6076.598766326904,102,0.24060199021747306,D_44
D_45_mean,5794.957101821899,120,0.22945043198335474,D_45
D_50_mean,5624.391404628754,152,0.22269690953015053,D_50
P_3_mean,5585.6293478012085,162,0.22116213187306533,P_3
B_11_mean,5549.487114429474,84,0.2197310857213379,B_11
R_2_max,5516.366836547852,61,0.21841969343079656,R_2
B_2_mean,5478.752830505371,125,0.21693037266734203,B_2
B_25_last,5173.775099277496,73,0.2048548264733005,B_25
S_7_last,5153.343829154968,195,0.20404585348640664,S_7
R_3_max,5135.211994171143,151,0.20332792627890725,R_3
R_27_last,5091.8819398880005,125,0.2016122794676473,R_27
S_23_max,5086.608879566193,117,0.20140349345811276,S_23
D_75_last,5068.988008022308,81,0.20070579776914962,D_75
B_8_mean,4922.546417713165,97,0.19490746560441308,B_8
D_46_last,4827.216125488281,202,0.19113287739819113,D_46
D_61_mean,4775.976115226746,121,0.18910403710088428,D_61
D_112_last,4683.215579509735,89,0.1854311980069445,D_112
D_65_last,4683.088276386261,129,0.18542615745942,D_65
D_50_last,4586.207847118378,142,0.18159019181624728,D_50
D_45_last,4312.19727897644,104,0.17074078566474954,D_45
S_8_mean,4040.1828446388245,140,0.15997041612312665,S_8
B_23_mean,3949.235025405884,58,0.15636935125857718,B_23
D_56_max,3938.3857622146606,130,0.1559397763571263,D_56
D_51_last,3909.990203857422,101,0.15481545860688298,D_51
D_51_mean,3894.6698684692383,105,0.15420885229191242,D_51
D_43_max,3871.6018381118774,166,0.1532954771905096,D_43
