feature,gain,gain_pct,splits,parts
P_2,613282.336889267,24.282819467768405,787,4
D_44,195320.91781568527,7.733701592735568,594,4
D_48,110996.33742713928,4.394882847919664,638,4
B_9,91932.63745069504,3.6400585898727864,436,4
R_1,82725.77609348297,3.275514335531542,449,4
B_3,69687.77868843079,2.7592768407196218,637,4
B_2,67472.60072517395,2.671567211181641,425,4
B_18,64352.20699977875,2.548015703263665,246,4
B_11,52026.32612848282,2.0599743526892054,425,4
D_42,51215.71190023422,2.0278782074416384,597,4
B_1,43004.4137301445,1.7027531238273228,415,4
R_2,41314.036469459534,1.6358228971036313,299,4
S_3,39061.46439027786,1.5466326533174637,746,4
D_39,36948.50114631653,1.462970199812941,787,4
B_4,30150.794983386993,1.1938160735313637,799,4
B_37,29268.733295440674,1.1588909771451248,408,4
D_41,27649.81022977829,1.0947899682442537,515,4
R_3,22361.64867401123,0.8854060276820286,595,4
B_7,21164.212563991547,0.837993729732471,374,4
D_43,20754.99228811264,0.8217907160730183,757,4
D_45,20656.238295555115,0.8178805669805804,365,4
P_3,18294.791620254517,0.724379450366097,610,4
S_23,17465.831720352173,0.6915569110810913,494,4
B_23,16458.176151275635,0.6516589443571695,311,4
D_50,14404.353694438934,0.5703381611903471,488,4
D_62,14207.928677558899,0.5625607429655786,347,4
D_65,13838.732849121094,0.5479424911247023,502,4
S_7,13001.409456729889,0.5147888006455221,583,4
D_46,12845.107946395874,0.5086000664692993,683,4
D_51,11621.598074436188,0.46015538194026495,397,4
B_5,11535.127242088318,0.45673158268039793,544,4
B_22,11472.73241186142,0.4542610690083314,303,4
R_10,11468.291971206665,0.45408525044599735,311,4
R_27,11109.10549736023,0.4398633174552024,403,4
B_33,10950.159356594086,0.43356986954522336,223,4
S_8,10492.386425971985,0.41544442101541385,427,4
D_49,9805.14028930664,0.3882330163119729,409,4
D_56,9403.363299369812,0.3723247184105106,410,4
D_47,9314.013090610504,0.3687869106860703,540,4
B_8,9144.50858259201,0.3620754058544397,324,4
D_61,9008.187919139862,0.3566778102264205,407,4
D_52,8937.880354881287,0.3538939930717161,393,4
D_112,8476.259727478027,0.3356161955817563,325,4
R_6,8239.994510650635,0.32626131078948706,262,4
B_25,7986.345868110657,0.3162181319392947,273,4
S_15,7668.6574811935425,0.30363930929515304,416,4
D_77,7609.545471668243,0.3012987784020564,365,4
S_9,7510.3327622413635,0.2973704664859803,517,4
D_75,7460.176023006439,0.29538451813776706,265,4
D_59,6958.07986497879,0.2755040982602141,490,4
B_26,6914.806161880493,0.2737906826654201,377,4
B_10,6637.027307510376,0.2627920718023602,305,4
S_26,6533.399043560028,0.2586889266864771,404,4
S_12,6498.122781276703,0.25729216852633086,475,4
D_53,6362.28102350235,0.2519135350947039,354,4
B_17,6265.796925067902,0.24809326210970653,413,4
R_5,6214.701365470886,0.2460701413141651,300,4
D_129,6199.565680503845,0.24547084620411852,346,4
D_55,6165.34786939621,0.24411599725489966,350,4
S_24,6142.318691253662,0.24320416050094545,410,4
R_16,6086.379832267761,0.2409892700136741,342,4
R_11,5948.538601398468,0.23553146775347567,366,4
B_20,5906.2027044296265,0.2338551844476252,258,4
S_11,5832.774518489838,0.23094780675912746,388,4
D_132,5810.134088516235,0.23005136242891855,258,4
B_14,5781.340612411499,0.22891128918688247,366,4
S_25,5760.072819709778,0.2280691942175844,282,4
D_79,5701.041647911072,0.22573186408179471,338,4
D_121,5637.3749985694885,0.2232109929281901,439,4
R_8,5628.436718463898,0.22285708310705074,273,4
B_28,5479.882677555084,0.21697510878688125,320,4
B_40,5475.378921985626,0.2167967832802723,379,4
D_54,5467.599044799805,0.21648874024393938,240,4
S_5,5151.092515945435,0.20395671308736987,395,4
D_74,5086.443515777588,0.2013969459044272,321,4
S_22,5028.54092168808,0.19910430162883497,317,4
P_4,5008.049262523651,0.19829293754714822,244,4
D_122,4804.735095500946,0.19024274448583478,369,4
D_123,4796.430303573608,0.1899139175313332,372,4
D_78,4779.155432224274,0.1892299216666674,392,4
D_70,4746.807994365692,0.18794912985754897,368,4
D_119,4645.950330257416,0.18395568621476505,357,4
D_128,4612.287024021149,0.1826227928003391,316,4
B_38,4577.148895740509,0.18123150403470795,210,9
S_16,4497.3968715667725,0.17807373494743417,339,4
D_131,4487.446990966797,0.1776797709608622,313,4
